original;connected;weight;SENS UNIQUE;trafic
2.82277, 50.57544;2.82246, 50.577;12;0;1
2.82292, 50.53077;2.8217, 50.53094;7;0;1
2.82292, 50.53077;2.82309, 50.53064;2;1;0
2.82302, 50.54601;2.82481, 50.5452;30;0;4
2.82302, 50.54601;2.82225, 50.54513;55;0;1
2.82304, 50.56292;2.82157, 50.56318;9;0;0
2.82304, 50.56292;2.82157, 50.56318;9;0;0
2.82309, 50.53064;2.82392, 50.52826;37;0;0
2.82309, 50.53064;2.8234, 50.53073;3;1;0
2.8231, 50.57327;2.82311, 50.57399;13;0;0
2.8231, 50.57327;2.82277, 50.57437;9;0;1
2.82311, 50.57399;2.82426, 50.57486;16;0;4
2.82311, 50.57399;2.82277, 50.57437;34;0;0
2.82336, 50.53089;2.82292, 50.53077;3;0;1
2.8234, 50.53073;2.82336, 50.53089;3;1;0
2.82363, 50.57282;2.8231, 50.57327;4;0;1
2.82363, 50.57282;2.8231, 50.57327;4;0;0
2.82389, 50.59502;2.82156, 50.59438;27;0;0
2.82389, 50.59502;2.82477, 50.59473;28;0;0
2.82391, 50.54789;2.82414, 50.54754;4;1;7
2.82392, 50.52826;2.8191, 50.52876;63;0;0
2.82399, 50.57738;2.8249, 50.57763;6;0;0
2.82399, 50.57738;2.82458, 50.57678;10;0;4
2.82414, 50.54754;2.82462, 50.54761;4;1;7
2.82414, 50.54754;2.82302, 50.54601;104;0;1
2.82415, 50.59513;2.82409, 50.59487;19;0;0
2.82415, 50.59513;2.82389, 50.59502;4;0;0
2.82436, 50.67216;2.83236, 50.66342;191;0;0
2.82436, 50.67216;2.82072, 50.67128;16;0;1
2.82442, 50.59545;2.82205, 50.59744;102;0;0
2.82446, 50.54801;2.82391, 50.54789;4;1;7
2.82461, 50.55919;2.81252, 50.56123;101;0;0
2.82461, 50.55919;2.82397, 50.55906;16;0;4
2.82462, 50.54761;2.8247, 50.54784;3;1;7
2.82462, 50.54761;2.82791, 50.54505;39;0;7
2.82462, 50.59134;2.82156, 50.59293;26;0;0
2.82462, 50.59134;2.82857, 50.59399;32;0;0
2.82462, 50.59535;2.82415, 50.59513;13;0;0
2.82462, 50.59535;2.82442, 50.59545;0;0;0
2.8247, 50.54784;2.82446, 50.54801;2;1;7
2.82477, 50.59473;2.82433, 50.59496;6;0;0
2.82477, 50.59473;2.82555, 50.59326;46;0;0
2.8249, 50.57763;2.82756, 50.57757;15;0;0
2.8249, 50.57763;2.82688, 50.58178;70;0;0
2.8251, 50.5305;2.8234, 50.53073;14;0;0
2.8251, 50.5305;2.82656, 50.52914;24;0;2
2.82514, 50.59492;2.82519, 50.59476;109;0;0
2.82517, 50.54887;2.82638, 50.54869;188;0;2
2.82517, 50.54887;2.82446, 50.54801;167;0;7
2.82517, 50.59766;2.82761, 50.60049;309;0;0
2.82534, 50.59558;2.82462, 50.59535;19;0;0
2.82534, 50.59558;2.82462, 50.59535;19;0;0
2.82583, 50.59581;2.82855, 50.59416;41;0;0
2.82583, 50.59581;2.82534, 50.59558;7;0;0
2.82614, 50.60332;2.82989, 50.61553;191;0;0
2.82614, 50.60332;2.82712, 50.60467;40;0;0
2.82625, 50.54805;2.82763, 50.54717;20;0;2
2.82625, 50.54805;2.8247, 50.54784;15;1;2
2.82636, 50.59621;2.82583, 50.59581;9;0;0
2.82636, 50.59621;2.82707, 50.59655;8;0;0
2.82636, 50.59621;2.82205, 50.59744;56;0;0
2.82638, 50.54869;2.82666, 50.54883;2;0;2
